[Year],[State],[S&E Fields],[SEH Fields],[Public or Private],[Sex],[Citizenship],[Graduate Students]
2018,California,Science and engineering,Science,Public,Male,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),11509
2018,California,Science and engineering,Science,Public,Male,Foreign nationals,5006
2018,California,Science and engineering,Science,Public,Female,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),10881
2018,California,Science and engineering,Science,Public,Female,Foreign nationals,3321
2018,California,Science and engineering,Science,Private,Male,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),"4,888"
2018,California,Science and engineering,Science,Private,Male,Foreign nationals,"3,099"
2018,California,Science and engineering,Science,Private,Female,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),"8,575"
2018,California,Science and engineering,Science,Private,Female,Foreign nationals,"2,331"
2018,California,Science and engineering,Engineering,Public,Male,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),"5,640"
2018,California,Science and engineering,Engineering,Public,Male,Foreign nationals,"5,228"
2018,California,Science and engineering,Engineering,Public,Female,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),"1,925"
2018,California,Science and engineering,Engineering,Public,Female,Foreign nationals,"2,069"
2018,California,Science and engineering,Engineering,Private,Male,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),"2,182"
2018,California,Science and engineering,Engineering,Private,Male,Foreign nationals,"2,991"
2018,California,Science and engineering,Engineering,Private,Female,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),976
2018,California,Science and engineering,Engineering,Private,Female,Foreign nationals,"1,374"
2018,Michigan,Science and engineering,Science,Public,Male,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),"3,784"
2018,Michigan,Science and engineering,Science,Public,Male,Foreign nationals,"1,895"
2018,Michigan,Science and engineering,Science,Public,Female,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),"4,370"
2018,Michigan,Science and engineering,Science,Public,Female,Foreign nationals,"1,691"
2018,Michigan,Science and engineering,Science,Private,Male,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),110
2018,Michigan,Science and engineering,Science,Private,Male,Foreign nationals,37
2018,Michigan,Science and engineering,Science,Private,Female,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),105
2018,Michigan,Science and engineering,Science,Private,Female,Foreign nationals,35
2018,Michigan,Science and engineering,Engineering,Public,Male,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),"2,515"
2018,Michigan,Science and engineering,Engineering,Public,Male,Foreign nationals,"3,444"
2018,Michigan,Science and engineering,Engineering,Public,Female,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),822
2018,Michigan,Science and engineering,Engineering,Public,Female,Foreign nationals,949
2018,Michigan,Science and engineering,Engineering,Private,Male,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),164
2018,Michigan,Science and engineering,Engineering,Private,Male,Foreign nationals,264
2018,Michigan,Science and engineering,Engineering,Private,Female,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),65
2018,Michigan,Science and engineering,Engineering,Private,Female,Foreign nationals,32
2018,Illinois,Science and engineering,Science,Public,Male,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),"3,237"
2018,Illinois,Science and engineering,Science,Public,Male,Foreign nationals,"2,815"
2018,Illinois,Science and engineering,Science,Public,Female,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),"2,903"
2018,Illinois,Science and engineering,Science,Public,Female,Foreign nationals,"2,088"
2018,Illinois,Science and engineering,Science,Private,Male,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),"3,750"
2018,Illinois,Science and engineering,Science,Private,Male,Foreign nationals,"2,328"
2018,Illinois,Science and engineering,Science,Private,Female,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),"3,552"
2018,Illinois,Science and engineering,Science,Private,Female,Foreign nationals,"1,612"
2018,Illinois,Science and engineering,Engineering,Public,Male,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),"1,092"
2018,Illinois,Science and engineering,Engineering,Public,Male,Foreign nationals,"2,275"
2018,Illinois,Science and engineering,Engineering,Public,Female,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),332
2018,Illinois,Science and engineering,Engineering,Public,Female,Foreign nationals,689
2018,Illinois,Science and engineering,Engineering,Private,Male,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),492
2018,Illinois,Science and engineering,Engineering,Private,Male,Foreign nationals,"1,040"
2018,Illinois,Science and engineering,Engineering,Private,Female,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),274
2018,Illinois,Science and engineering,Engineering,Private,Female,Foreign nationals,399
2018,Pennsylvania,Science and engineering,Science,Public,Male,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),"2,847"
2018,Pennsylvania,Science and engineering,Science,Public,Male,Foreign nationals,"1,602"
2018,Pennsylvania,Science and engineering,Science,Public,Female,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),"3,167"
2018,Pennsylvania,Science and engineering,Science,Public,Female,Foreign nationals,"1,206"
2018,Pennsylvania,Science and engineering,Science,Private,Male,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),"2,751"
2018,Pennsylvania,Science and engineering,Science,Private,Male,Foreign nationals,"3,049"
2018,Pennsylvania,Science and engineering,Science,Private,Female,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),"3,538"
2018,Pennsylvania,Science and engineering,Science,Private,Female,Foreign nationals,"1,924"
2018,Pennsylvania,Science and engineering,Engineering,Public,Male,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),"1,360"
2018,Pennsylvania,Science and engineering,Engineering,Public,Male,Foreign nationals,"1,153"
2018,Pennsylvania,Science and engineering,Engineering,Public,Female,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),417
2018,Pennsylvania,Science and engineering,Engineering,Public,Female,Foreign nationals,352
2018,Pennsylvania,Science and engineering,Engineering,Private,Male,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),"1,433"
