[Year],[S&E Fields],[Board field],[Public or Private],[Institution Name],[Citizenship],[Sex],Graduate students
2010,Science,Use Broad Fields (Old) for 2016 and earlier,Public,"California State University, Channel Islands",U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Male,-
2010,Science,Use Broad Fields (Old) for 2016 and earlier,Public,"California State University, Channel Islands",U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Female,-
2010,Science,Use Broad Fields (Old) for 2016 and earlier,Public,"California State University, Monterey Bay",U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Male,-
2010,Science,Use Broad Fields (Old) for 2016 and earlier,Public,"California State University, Monterey Bay",U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Female,-
2010,Science,Use Broad Fields (Old) for 2016 and earlier,Public,"California State University, Monterey Bay",Foreign nationals,Male,-
2010,Science,Use Broad Fields (Old) for 2016 and earlier,Public,"California State University, San Marcos",U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Male,-
2010,Science,Use Broad Fields (Old) for 2016 and earlier,Public,"California State University, San Marcos",U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Female,-
2010,Science,Use Broad Fields (Old) for 2016 and earlier,Public,"California State University, San Marcos",Foreign nationals,Male,-
2010,Science,Use Broad Fields (Old) for 2016 and earlier,Public,"California State University, San Marcos",Foreign nationals,Female,-
2010,Science,Use Broad Fields (Old) for 2016 and earlier,Public,Sonoma State University,Foreign nationals,Male,-
2010,Science,Use Broad Fields (Old) for 2016 and earlier,Public,"University of California, Merced",U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Male,-
2010,Science,Use Broad Fields (Old) for 2016 and earlier,Public,"University of California, Merced",U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Female,-
2010,Science,Use Broad Fields (Old) for 2016 and earlier,Public,"University of California, Merced",Foreign nationals,Male,-
2010,Science,Use Broad Fields (Old) for 2016 and earlier,Public,"University of California, Merced",Foreign nationals,Female,-
2010,Science,Use Broad Fields (Old) for 2016 and earlier,Private,California Lutheran University,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Male,-
2010,Science,Use Broad Fields (Old) for 2016 and earlier,Private,California Lutheran University,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Female,-
2010,Science,Use Broad Fields (Old) for 2016 and earlier,Private,California Lutheran University,Foreign nationals,Male,-
2010,Science,Use Broad Fields (Old) for 2016 and earlier,Private,California Lutheran University,Foreign nationals,Female,-
2010,Science,Use Broad Fields (Old) for 2016 and earlier,Private,Cedars-Sinai Medical Center,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Male,-
2010,Science,Use Broad Fields (Old) for 2016 and earlier,Private,Cedars-Sinai Medical Center,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Female,-
2010,Science,Use Broad Fields (Old) for 2016 and earlier,Private,Charles R. Drew University of Medicine and Science,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Male,-
2010,Science,Use Broad Fields (Old) for 2016 and earlier,Private,Charles R. Drew University of Medicine and Science,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Female,-
2010,Science,Use Broad Fields (Old) for 2016 and earlier,Private,"City of Hope, Irell and Manella Graduate School of Biological Sciences",U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Male,-
2010,Science,Use Broad Fields (Old) for 2016 and earlier,Private,"City of Hope, Irell and Manella Graduate School of Biological Sciences",U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Female,-
2010,Science,Use Broad Fields (Old) for 2016 and earlier,Private,"City of Hope, Irell and Manella Graduate School of Biological Sciences",Foreign nationals,Male,-
2010,Science,Use Broad Fields (Old) for 2016 and earlier,Private,"City of Hope, Irell and Manella Graduate School of Biological Sciences",Foreign nationals,Female,-
2010,Science,Use Broad Fields (Old) for 2016 and earlier,Private,International Technological University,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Male,-
2010,Science,Use Broad Fields (Old) for 2016 and earlier,Private,International Technological University,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Female,-
2010,Science,Use Broad Fields (Old) for 2016 and earlier,Private,International Technological University,Foreign nationals,Male,-
2010,Science,Use Broad Fields (Old) for 2016 and earlier,Private,International Technological University,Foreign nationals,Female,-
2010,Science,Use Broad Fields (Old) for 2016 and earlier,Private,Keck Graduate Institute,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Male,-
2010,Science,Use Broad Fields (Old) for 2016 and earlier,Private,Keck Graduate Institute,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Female,-
2010,Science,Use Broad Fields (Old) for 2016 and earlier,Private,Keck Graduate Institute,Foreign nationals,Male,-
2010,Science,Use Broad Fields (Old) for 2016 and earlier,Private,Keck Graduate Institute,Foreign nationals,Female,-
2010,Science,Use Broad Fields (Old) for 2016 and earlier,Private,Marshall B. Ketchum University,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Male,-
2010,Science,Use Broad Fields (Old) for 2016 and earlier,Private,Marshall B. Ketchum University,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Female,-
2010,Science,Use Broad Fields (Old) for 2016 and earlier,Private,Marshall B. Ketchum University,Foreign nationals,Male,-
2010,Science,Use Broad Fields (Old) for 2016 and earlier,Private,Marshall B. Ketchum University,Foreign nationals,Female,-
2010,Science,Use Broad Fields (Old) for 2016 and earlier,Private,Mills College,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Male,-
2010,Science,Use Broad Fields (Old) for 2016 and earlier,Private,Mills College,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Female,-
2010,Science,Use Broad Fields (Old) for 2016 and earlier,Private,Mills College,Foreign nationals,Female,-
2010,Science,Use Broad Fields (Old) for 2016 and earlier,Private,Northwestern Polytechnic University,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Male,-
2010,Science,Use Broad Fields (Old) for 2016 and earlier,Private,Northwestern Polytechnic University,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Female,-
2010,Science,Use Broad Fields (Old) for 2016 and earlier,Private,Northwestern Polytechnic University,Foreign nationals,Male,-
2010,Science,Use Broad Fields (Old) for 2016 and earlier,Private,Northwestern Polytechnic University,Foreign nationals,Female,-
2010,Science,Use Broad Fields (Old) for 2016 and earlier,Private,Notre Dame de Namur University,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Male,-
2010,Science,Use Broad Fields (Old) for 2016 and earlier,Private,Notre Dame de Namur University,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Female,-
2010,Science,Use Broad Fields (Old) for 2016 and earlier,Private,Notre Dame de Namur University,Foreign nationals,Male,-
2010,Science,Use Broad Fields (Old) for 2016 and earlier,Private,Notre Dame de Namur University,Foreign nationals,Female,-
2010,Science,Use Broad Fields (Old) for 2016 and earlier,Private,Pacific States University,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Male,-
2010,Science,Use Broad Fields (Old) for 2016 and earlier,Private,Point Loma Nazarene University,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Male,-
2010,Science,Use Broad Fields (Old) for 2016 and earlier,Private,Point Loma Nazarene University,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Female,-
2010,Science,Use Broad Fields (Old) for 2016 and earlier,Private,Sanford-Burnham Medical Research Institute,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Male,-
2010,Science,Use Broad Fields (Old) for 2016 and earlier,Private,Sanford-Burnham Medical Research Institute,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Female,-
2010,Science,Use Broad Fields (Old) for 2016 and earlier,Private,Sanford-Burnham Medical Research Institute,Foreign nationals,Male,-
2010,Science,Use Broad Fields (Old) for 2016 and earlier,Private,Sanford-Burnham Medical Research Institute,Foreign nationals,Female,-
2010,Science,Use Broad Fields (Old) for 2016 and earlier,Private,"Scripps Research Institute, The",U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Male,-
2010,Science,Use Broad Fields (Old) for 2016 and earlier,Private,"Scripps Research Institute, The",U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Female,-
2010,Science,Use Broad Fields (Old) for 2016 and earlier,Private,"Scripps Research Institute, The",Foreign nationals,Male,-
2010,Science,Use Broad Fields (Old) for 2016 and earlier,Private,"Scripps Research Institute, The",Foreign nationals,Female,-
2010,Science,Use Broad Fields (Old) for 2016 and earlier,Private,Sofia University,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Male,-
2010,Science,Use Broad Fields (Old) for 2016 and earlier,Private,Sofia University,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Female,-
2010,Science,Use Broad Fields (Old) for 2016 and earlier,Private,Sofia University,Foreign nationals,Male,-
2010,Science,Use Broad Fields (Old) for 2016 and earlier,Private,Sofia University,Foreign nationals,Female,-
2010,Science,Use Broad Fields (Old) for 2016 and earlier,Private,Western University of Health Sciences,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Male,-
2010,Science,Use Broad Fields (Old) for 2016 and earlier,Private,Western University of Health Sciences,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Female,-
2010,Science,Use Broad Fields (Old) for 2016 and earlier,Private,Western University of Health Sciences,Foreign nationals,Male,-
2010,Engineering,Engineering,Public,"California Polytechnic State University, San Luis Obispo",U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Male,-
2010,Engineering,Engineering,Public,"California Polytechnic State University, San Luis Obispo",U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Female,-
2010,Engineering,Engineering,Public,"California Polytechnic State University, San Luis Obispo",Foreign nationals,Male,-
2010,Engineering,Engineering,Public,"California Polytechnic State University, San Luis Obispo",Foreign nationals,Female,-
2010,Engineering,Engineering,Public,"California State Polytechnic University, Pomona",U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Male,-
2010,Engineering,Engineering,Public,"California State Polytechnic University, Pomona",U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Female,-
2010,Engineering,Engineering,Public,"California State Polytechnic University, Pomona",Foreign nationals,Male,-
2010,Engineering,Engineering,Public,"California State Polytechnic University, Pomona",Foreign nationals,Female,-
2010,Engineering,Engineering,Public,"California State University, Chico",U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Male,-
2010,Engineering,Engineering,Public,"California State University, Chico",U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Female,-
2010,Engineering,Engineering,Public,"California State University, Chico",Foreign nationals,Male,-
2010,Engineering,Engineering,Public,"California State University, Chico",Foreign nationals,Female,-
2010,Engineering,Engineering,Public,"California State University, Fresno",U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Male,-
2010,Engineering,Engineering,Public,"California State University, Fresno",U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Female,-
2010,Engineering,Engineering,Public,"California State University, Fresno",Foreign nationals,Male,-
2010,Engineering,Engineering,Public,"California State University, Fresno",Foreign nationals,Female,-
2010,Engineering,Engineering,Public,"California State University, Fullerton",U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Male,-
2010,Engineering,Engineering,Public,"California State University, Fullerton",U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Female,-
2010,Engineering,Engineering,Public,"California State University, Fullerton",Foreign nationals,Male,-
2010,Engineering,Engineering,Public,"California State University, Fullerton",Foreign nationals,Female,-
2010,Engineering,Engineering,Public,"California State University, Long Beach",U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Male,-
2010,Engineering,Engineering,Public,"California State University, Long Beach",U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Female,-
2010,Engineering,Engineering,Public,"California State University, Long Beach",Foreign nationals,Male,-
2010,Engineering,Engineering,Public,"California State University, Long Beach",Foreign nationals,Female,-
2010,Engineering,Engineering,Public,"California State University, Los Angeles",U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Male,-
2010,Engineering,Engineering,Public,"California State University, Los Angeles",U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Female,-
2010,Engineering,Engineering,Public,"California State University, Los Angeles",Foreign nationals,Male,-
2010,Engineering,Engineering,Public,"California State University, Los Angeles",Foreign nationals,Female,-
2010,Engineering,Engineering,Public,"California State University, Northridge",U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Male,-
2010,Engineering,Engineering,Public,"California State University, Northridge",U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Female,-
2010,Engineering,Engineering,Public,"California State University, Northridge",Foreign nationals,Male,-
2010,Engineering,Engineering,Public,"California State University, Northridge",Foreign nationals,Female,-
2010,Engineering,Engineering,Public,"California State University, Sacramento",U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Male,-
2010,Engineering,Engineering,Public,"California State University, Sacramento",U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Female,-
2010,Engineering,Engineering,Public,"California State University, Sacramento",Foreign nationals,Male,-
2010,Engineering,Engineering,Public,"California State University, Sacramento",Foreign nationals,Female,-
2010,Engineering,Engineering,Public,Naval Postgraduate School,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Male,-
2010,Engineering,Engineering,Public,Naval Postgraduate School,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Female,-
2010,Engineering,Engineering,Public,Naval Postgraduate School,Foreign nationals,Male,-
2010,Engineering,Engineering,Public,Naval Postgraduate School,Foreign nationals,Female,-
2010,Engineering,Engineering,Public,San Diego State University,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Male,-
2010,Engineering,Engineering,Public,San Diego State University,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Female,-
2010,Engineering,Engineering,Public,San Diego State University,Foreign nationals,Male,-
2010,Engineering,Engineering,Public,San Diego State University,Foreign nationals,Female,-
2010,Engineering,Engineering,Public,San Francisco State University,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Male,-
2010,Engineering,Engineering,Public,San Francisco State University,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Female,-
2010,Engineering,Engineering,Public,San Francisco State University,Foreign nationals,Male,-
2010,Engineering,Engineering,Public,San Francisco State University,Foreign nationals,Female,-
2010,Engineering,Engineering,Public,San Jose State University,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Male,-
2010,Engineering,Engineering,Public,San Jose State University,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Female,-
2010,Engineering,Engineering,Public,San Jose State University,Foreign nationals,Male,-
2010,Engineering,Engineering,Public,San Jose State University,Foreign nationals,Female,-
2010,Engineering,Engineering,Public,"University of California, Berkeley",U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Male,-
2010,Engineering,Engineering,Public,"University of California, Berkeley",U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Female,-
2010,Engineering,Engineering,Public,"University of California, Berkeley",Foreign nationals,Male,-
2010,Engineering,Engineering,Public,"University of California, Berkeley",Foreign nationals,Female,-
2010,Engineering,Engineering,Public,"University of California, Davis",U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Male,-
2010,Engineering,Engineering,Public,"University of California, Davis",U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Female,-
2010,Engineering,Engineering,Public,"University of California, Davis",Foreign nationals,Male,-
2010,Engineering,Engineering,Public,"University of California, Davis",Foreign nationals,Female,-
2010,Engineering,Engineering,Public,"University of California, Irvine",U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Male,-
2010,Engineering,Engineering,Public,"University of California, Irvine",U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Female,-
2010,Engineering,Engineering,Public,"University of California, Irvine",Foreign nationals,Male,-
2010,Engineering,Engineering,Public,"University of California, Irvine",Foreign nationals,Female,-
2010,Engineering,Engineering,Public,"University of California, Los Angeles",U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Male,-
2010,Engineering,Engineering,Public,"University of California, Los Angeles",U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Female,-
2010,Engineering,Engineering,Public,"University of California, Los Angeles",Foreign nationals,Male,-
2010,Engineering,Engineering,Public,"University of California, Los Angeles",Foreign nationals,Female,-
2010,Engineering,Engineering,Public,"University of California, Merced",U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Male,-
2010,Engineering,Engineering,Public,"University of California, Merced",U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Female,-
2010,Engineering,Engineering,Public,"University of California, Merced",Foreign nationals,Male,-
2010,Engineering,Engineering,Public,"University of California, Merced",Foreign nationals,Female,-
2010,Engineering,Engineering,Public,"University of California, Riverside",U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Male,-
2010,Engineering,Engineering,Public,"University of California, Riverside",U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Female,-
2010,Engineering,Engineering,Public,"University of California, Riverside",Foreign nationals,Male,-
2010,Engineering,Engineering,Public,"University of California, Riverside",Foreign nationals,Female,-
2010,Engineering,Engineering,Public,"University of California, San Diego",U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Male,-
2010,Engineering,Engineering,Public,"University of California, San Diego",U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Female,-
2010,Engineering,Engineering,Public,"University of California, San Diego",Foreign nationals,Male,-
2010,Engineering,Engineering,Public,"University of California, San Diego",Foreign nationals,Female,-
2010,Engineering,Engineering,Public,"University of California, San Francisco",U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Male,-
2010,Engineering,Engineering,Public,"University of California, San Francisco",U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Female,-
2010,Engineering,Engineering,Public,"University of California, San Francisco",Foreign nationals,Male,-
2010,Engineering,Engineering,Public,"University of California, San Francisco",Foreign nationals,Female,-
2010,Engineering,Engineering,Public,"University of California, Santa Barbara",U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Male,-
2010,Engineering,Engineering,Public,"University of California, Santa Barbara",U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Female,-
2010,Engineering,Engineering,Public,"University of California, Santa Barbara",Foreign nationals,Male,-
2010,Engineering,Engineering,Public,"University of California, Santa Barbara",Foreign nationals,Female,-
2010,Engineering,Engineering,Public,"University of California, Santa Cruz",U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Male,-
2010,Engineering,Engineering,Public,"University of California, Santa Cruz",U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Female,-
2010,Engineering,Engineering,Public,"University of California, Santa Cruz",Foreign nationals,Male,-
2010,Engineering,Engineering,Public,"University of California, Santa Cruz",Foreign nationals,Female,-
2010,Engineering,Engineering,Private,California Baptist University,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Male,-
2010,Engineering,Engineering,Private,California Baptist University,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Female,-
2010,Engineering,Engineering,Private,California Baptist University,Foreign nationals,Male,-
2010,Engineering,Engineering,Private,California Baptist University,Foreign nationals,Female,-
2010,Engineering,Engineering,Private,California Institute of Technology,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Male,-
2010,Engineering,Engineering,Private,California Institute of Technology,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Female,-
2010,Engineering,Engineering,Private,California Institute of Technology,Foreign nationals,Male,-
2010,Engineering,Engineering,Private,California Institute of Technology,Foreign nationals,Female,-
2010,Engineering,Engineering,Private,International Technological University,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Male,-
2010,Engineering,Engineering,Private,International Technological University,Foreign nationals,Male,-
2010,Engineering,Engineering,Private,International Technological University,Foreign nationals,Female,-
2010,Engineering,Engineering,Private,Keck Graduate Institute,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Male,-
2010,Engineering,Engineering,Private,Keck Graduate Institute,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Female,-
2010,Engineering,Engineering,Private,Keck Graduate Institute,Foreign nationals,Male,-
